setup description,timestamp_receiver,timestamp_server,filename,frame_id,resolution,jpeg_quality,size_kb,compression_time_ms,encryption_time_ms,fps,Mbits,latency_ms
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.086,2025-03-28 14:39:27.734,cityNight_640x480.jpg,1,640x480,20,21.47,60.52089,47.4937,0,0.0,428.272
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.224,2025-03-28 14:39:27.785,cityNight_640x480.jpg,2,640x480,20,21.47,4.74501,1.08695,2,0.3435,340.818
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.259,2025-03-28 14:39:27.794,cityNight_640x480.jpg,3,640x480,20,21.47,4.90189,1.03378,2,0.3435,315.018
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.294,2025-03-28 14:39:27.802,cityNight_640x480.jpg,4,640x480,20,21.47,4.96554,1.02663,2,0.3435,287.564
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.329,2025-03-28 14:39:27.822,cityNight_640x480.jpg,5,640x480,20,21.47,4.85945,1.02878,2,0.3435,272.517
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.364,2025-03-28 14:39:27.849,cityNight_640x480.jpg,6,640x480,20,21.47,4.60529,1.06549,2,0.3435,264.327
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.399,2025-03-28 14:39:27.869,cityNight_640x480.jpg,7,640x480,20,21.47,4.88281,1.02782,2,0.3435,249.418
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.434,2025-03-28 14:39:27.900,cityNight_640x480.jpg,8,640x480,20,21.47,4.64106,1.0252,2,0.3435,246.063
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.469,2025-03-28 14:39:27.949,cityNight_640x480.jpg,9,640x480,20,21.47,4.68969,1.02925,2,0.3435,259.977
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.504,2025-03-28 14:39:27.980,cityNight_640x480.jpg,10,640x480,20,21.47,4.64129,1.07312,2,0.3435,255.907
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.539,2025-03-28 14:39:28.009,cityNight_640x480.jpg,11,640x480,20,21.47,4.84133,1.03283,2,0.3435,249.951
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.574,2025-03-28 14:39:28.035,cityNight_640x480.jpg,12,640x480,20,21.47,4.62484,1.02139,2,0.3435,241.061
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.609,2025-03-28 14:39:28.080,cityNight_640x480.jpg,13,640x480,20,21.47,4.62556,1.07217,2,0.3435,250.373
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.644,2025-03-28 14:39:28.119,cityNight_640x480.jpg,14,640x480,20,21.47,4.64106,1.02687,2,0.3435,254.421
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.678,2025-03-28 14:39:28.151,cityNight_640x480.jpg,15,640x480,20,21.47,4.80676,1.06263,2,0.3435,252.953
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.713,2025-03-28 14:39:28.167,cityNight_640x480.jpg,16,640x480,20,21.47,4.67896,1.02496,2,0.3435,234.074
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.748,2025-03-28 14:39:28.216,cityNight_640x480.jpg,17,640x480,20,21.47,4.63033,1.07455,2,0.3435,247.469
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.783,2025-03-28 14:39:28.239,cityNight_640x480.jpg,18,640x480,20,21.47,4.75264,1.02758,2,0.3435,235.563
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.818,2025-03-28 14:39:28.280,cityNight_640x480.jpg,19,640x480,20,21.47,4.67825,1.03188,2,0.3435,241.362
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.853,2025-03-28 14:39:28.311,cityNight_640x480.jpg,20,640x480,20,21.47,4.64129,1.05882,2,0.3435,238.292
RPI4 5G - ws://heliwi.duckdns.org:9000,2025-03-28 14:39:27.888,2025-03-28 14:39:28.377,cityNight_640x480.jpg,21,640x480,20,21.47,4.62604,1.02997,2,0.3435,269.06
